id,season,pa,avg,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id,raw_ba,raw_ba_model,plate_score,contact_score,baa_raw,BAA,name
19566,2023,724,0.262,0.329,0.128,0.228,3.0,0.079,0.26,0.685,0.4379999999999999,0.675,0.8959999999999999,0.82,0.223,0.477,0.299,0.065,0.123,0.291,0.308,0.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11,0.262,0.262,-0.009559842355960607,0.02739812414102845,0.01783828178506784,105.45002831322397,Nathaniel Lowe
17678,2023,724,0.262,0.27,0.127,0.12,3.7,0.049,0.223,0.633,0.387,0.747,0.941,0.8740000000000001,0.186,0.354,0.46,0.121,0.1009999999999999,0.426,0.222,0.335,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,0.262,0.262,0.02339354236106543,-0.0260245797840493,-0.0026310374229838694,99.19615416881592,Alex Bregman
12533,2022,724,0.248,0.263,0.073,0.166,6.2,0.09,0.29,0.747,0.472,0.647,0.903,0.8079999999999999,0.19,0.3379999999999999,0.472,0.085,0.1009999999999999,0.4629999999999999,0.225,0.296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.248,0.248,0.015017792459989035,-0.013490603591144576,0.0015271888688444587,100.4665932893722,Marcus Semien
12916,2017,723,0.273,0.275,0.083,0.129,5.1,0.065,0.307,0.68,0.472,0.753,0.926,0.863,0.183,0.392,0.424,0.068,0.14,0.405,0.251,0.352,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0.273,0.273,0.02306757604108814,-0.002836518778202438,0.020231057262885703,106.18107933363174,Francisco Lindor
16478,2023,720,0.197,0.209,0.175,0.299,2.2,0.1119999999999999,0.241,0.573,0.375,0.542,0.802,0.7020000000000001,0.161,0.344,0.495,0.158,0.255,0.539,0.147,0.391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13,0.197,0.197,-0.023300242076880962,-0.05690207062090337,-0.08020231269778433,75.49624564430532,Kyle Schwarber
14344,2023,720,0.283,0.302,0.144,0.2319999999999999,3.1,0.119,0.295,0.735,0.4679999999999999,0.695,0.777,0.746,0.178,0.387,0.436,0.031,0.278,0.382,0.245,0.427,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,0.283,0.283,0.0026174288764378366,0.0014953613096055011,0.004112790186043338,101.25655728675892,Matt Olson
11281,2021,720,0.277,0.309,0.0559999999999999,0.143,6.6,0.081,0.326,0.732,0.498,0.758,0.887,0.838,0.243,0.407,0.35,0.06,0.05,0.356,0.321,0.262,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0.277,0.277,0.020146872333570955,0.03451311980914467,0.05465999214271562,116.69995509476509,Whit Merrifield
26289,2024,719,0.281,0.32,0.108,0.221,6.7,0.098,0.262,0.6859999999999999,0.442,0.623,0.858,0.778,0.206,0.467,0.326,0.077,0.239,0.392,0.2319999999999999,0.434,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,0.281,0.281,-0.002478817972333043,0.034006357115444745,0.0315275391431117,109.63242889906965,Gunnar Henderson
12161,2016,719,0.294,0.335,0.081,0.171,4.5,0.083,0.3379999999999999,0.591,0.4529999999999999,0.684,0.907,0.8170000000000001,0.196,0.455,0.349,0.178,0.114,0.445,0.242,0.306,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,0.294,0.294,0.011448281317006415,-0.020853872101148058,-0.009405590784141642,97.1263635873787,Xander Bogaerts
24610,2023,718,0.268,0.294,0.0969999999999999,0.104,6.3,0.039,0.248,0.604,0.41,0.797,0.956,0.904,0.253,0.45,0.297,0.072,0.03,0.3,0.314,0.184,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,0.268,0.268,0.024218409958232594,0.03308866809986628,0.05730707805809887,117.50870413013752,Steven Kwan
4922,2017,718,0.304,0.339,0.068,0.131,5.4,0.067,0.36,0.7120000000000001,0.522,0.7829999999999999,0.924,0.872,0.239,0.47,0.291,0.081,0.068,0.303,0.312,0.221,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18,0.304,0.304,0.023409696997594043,0.025859347682895186,0.04926904468048923,115.05288971827626,Ender Inciarte
12533,2024,718,0.237,0.25,0.089,0.146,4.3,0.095,0.303,0.787,0.5,0.642,0.904,0.81,0.179,0.396,0.425,0.138,0.099,0.504,0.203,0.326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.237,0.237,0.0266993751216866,-0.03203739176056382,-0.0053380166388772195,98.36910627554421,Marcus Semien
5417,2016,717,0.338,0.347,0.084,0.098,5.8,0.067,0.327,0.7120000000000001,0.491,0.777,0.913,0.861,0.262,0.416,0.322,0.049,0.13,0.4529999999999999,0.19,0.3379999999999999,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,0.338,0.338,0.03744651607228592,0.04283698342705581,0.08028349949934173,124.5285588953067,Jose Altuve
3269,2016,715,0.298,0.299,0.066,0.14,2.2,0.0819999999999999,0.373,0.7140000000000001,0.514,0.7120000000000001,0.932,0.838,0.18,0.4589999999999999,0.361,0.089,0.193,0.389,0.259,0.355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20,0.298,0.298,0.02406029525057098,-0.01438803191783462,0.00967226333273636,102.95511135273675,Robinson Cano
18401,2019,715,0.28,0.337,0.106,0.263,6.2,0.1169999999999999,0.267,0.715,0.4529999999999999,0.632,0.8,0.742,0.244,0.38,0.376,0.048,0.248,0.401,0.271,0.4579999999999999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0.28,0.28,-0.014473216208282319,0.053563610283975285,0.039090394075692966,111.94306475559459,Ronald Acuna Jr.
18360,2023,715,0.281,0.324,0.083,0.241,4.1,0.124,0.31,0.7190000000000001,0.482,0.596,0.831,0.743,0.185,0.413,0.402,0.079,0.1939999999999999,0.411,0.2319999999999999,0.413,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,0.281,0.281,-0.004872833590911707,0.00020834101385020897,-0.004664492577061498,98.57488423391271,Austin Riley
23697,2023,714,0.275,0.33,0.066,0.245,6.0,0.144,0.41,0.73,0.5379999999999999,0.589,0.851,0.732,0.185,0.476,0.3389999999999999,0.061,0.196,0.42,0.237,0.387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,22,0.275,0.275,-0.0014735369330938696,0.015367063648318541,0.013893526715224671,104.2448098354345,Julio Rodriguez
10071,2019,714,0.274,0.341,0.085,0.246,7.1,0.123,0.308,0.7509999999999999,0.491,0.635,0.8140000000000001,0.7490000000000001,0.198,0.489,0.313,0.076,0.1669999999999999,0.396,0.267,0.29,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,0.274,0.274,-0.007019311579728129,0.016470324178567954,0.009451012598839825,102.88751388014457,Jonathan Villar
20123,2024,713,0.288,0.298,0.181,0.1669999999999999,4.3,0.074,0.213,0.601,0.369,0.674,0.8640000000000001,0.799,0.204,0.436,0.36,0.085,0.25,0.451,0.2019999999999999,0.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,24,0.288,0.288,0.017827891971082695,0.0115934633765075,0.029421355347590196,108.98893859788748,Juan Soto
11493,2015,713,0.286,0.297,0.098,0.156,4.2,0.068,0.253,0.6559999999999999,0.431,0.7020000000000001,0.911,0.843,0.178,0.437,0.385,0.141,0.176,0.381,0.252,0.331,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,0.286,0.286,0.013234241903500995,-0.020220118608128154,-0.006985876704627159,97.86564500484683,Manny Machado
13611,2017,712,0.264,0.268,0.108,0.111,5.5,0.051,0.22,0.5379999999999999,0.36,0.726,0.927,0.858,0.168,0.4039999999999999,0.428,0.148,0.1009999999999999,0.444,0.2,0.357,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.264,0.264,0.025358369751638493,-0.02610853313755909,-0.0007501633859205957,99.77080686682316,Mookie Betts
5038,2015,711,0.297,0.314,0.103,0.187,4.5,0.11,0.251,0.7070000000000001,0.457,0.602,0.828,0.76,0.173,0.4479999999999999,0.379,0.096,0.218,0.429,0.236,0.373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,26,0.297,0.297,0.014320522509383975,-0.010063801438341582,0.004256721071042392,101.3005316676911,Josh Donaldson
25764,2024,709,0.332,0.354,0.08,0.15,7.2,0.098,0.354,0.748,0.512,0.7,0.884,0.8079999999999999,0.186,0.37,0.444,0.109,0.134,0.351,0.264,0.353,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,0.332,0.332,0.025438517100390825,0.0031658224562197677,0.028604339556610594,108.73932043135997,Bobby Witt Jr.
11493,2018,709,0.297,0.304,0.099,0.147,4.4,0.098,0.322,0.735,0.488,0.6579999999999999,0.89,0.7979999999999999,0.178,0.4,0.422,0.1159999999999999,0.1639999999999999,0.381,0.257,0.386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,0.297,0.297,0.02783593552814831,-0.010952463972648669,0.01688347155549964,105.15831059917492,Manny Machado
20123,2023,708,0.275,0.296,0.186,0.182,3.5,0.063,0.2,0.602,0.357,0.6759999999999999,0.899,0.823,0.166,0.51,0.324,0.077,0.245,0.389,0.207,0.411,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,24,0.275,0.275,0.008394795546942016,-0.003525858983662479,0.004868936563279537,101.48757836908808,Juan Soto
16252,2022,708,0.298,0.342,0.064,0.185,6.4,0.128,0.364,0.745,0.511,0.607,0.8590000000000001,0.7490000000000001,0.214,0.429,0.357,0.064,0.1119999999999999,0.4539999999999999,0.218,0.315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0.298,0.298,0.01797090644661962,0.016105245513358336,0.03407615195997796,110.41109201128675,Trea Turner
10556,2018,708,0.253,0.315,0.134,0.2189999999999999,5.0,0.072,0.203,0.5870000000000001,0.376,0.6,0.897,0.809,0.205,0.4589999999999999,0.336,0.048,0.102,0.4029999999999999,0.275,0.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,28,0.253,0.253,-0.007706555933649826,0.0055562380738572266,-0.0021503178597925996,99.34302567032489,Cesar Hernandez
5361,2022,708,0.325,0.359,0.119,0.144,4.8,0.083,0.313,0.7609999999999999,0.493,0.75,0.88,0.831,0.275,0.387,0.3379999999999999,0.034,0.12,0.364,0.3,0.369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,0.325,0.325,0.02637742844232595,0.05861266882767533,0.08499009727000129,125.96653882062236,Freddie Freeman
11281,2018,707,0.304,0.352,0.086,0.161,6.1,0.084,0.3279999999999999,0.677,0.477,0.731,0.884,0.823,0.298,0.349,0.353,0.147,0.065,0.337,0.31,0.369,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0.304,0.304,0.016365877946022327,0.05540433610304606,0.07177021404906839,121.9275434330784,Whit Merrifield
