id,season,pa,babip,clr_ld,clr_gb,clr_fb_noI,iffb_bip,hard,pull,oppo,sprint_speed
25621,2024,108,0.227,-1.3861156358868463,-0.0644837622438046,0.2679889979169774,-1.1198938459243004,0.5461991696280354,-0.13250979891169007,-1.4753388602576814,-0.4145967126610026
6387,2016,413,0.336,0.6420029466624302,0.9887028771376094,-0.2239711745143531,-0.855096727939595,-1.0241419613804261,-0.6950574650024541,0.7418217014448215,1.5996232742510117
9256,2022,527,0.278,-0.2593791986230204,0.4731190919299845,0.003587188066182856,1.292617450592468,0.16504840967452405,0.5264746099374881,-0.3241208762967657,-0.19684320056240648
20043,2023,595,0.314,-0.2926008009466227,-0.8998289972606922,0.26594028672209924,0.17737390529609318,0.18029444007266618,1.0086583237295716,-0.40939628251609517,1.0008011159798724
12147,2017,178,0.295,-0.031858377846263976,0.5833690997041701,-0.05012066539387039,-0.23168049153315756,-0.048396015899440106,0.26930996258171197,-0.622584798064413,0.510855713758031
12927,2022,673,0.317,-0.8457761094550638,0.988258221601176,-0.00791651422923989,-0.6985997261953968,-0.3533166238622485,-1.3540418738516342,0.9763290685479711,0.4564173357333821
24589,2022,123,0.28,0.20350976206130292,0.4331408315836768,-0.05610848949490399,0.8587978556783173,-2.1371021804446757,-0.807566998220607,0.6778651467803274,-0.2512815785870556
13145,2016,152,0.294,0.35013120245725277,0.8487166432262271,-0.15534414589421774,-0.4448516965870319,0.10406428808196408,-2.929175338905772,3.854374028450259,-1.1767340050060893
5930,2020,141,0.302,2.9448618591026716,-0.5666112217266482,-0.26652448386785155,-0.3958451796074883,-0.5057769278436527,-1.1129500169555924,0.891053662328644,-0.958980492907493
16997,2022,572,0.295,-0.6425836969242783,-0.9541005819924991,0.3269250224721325,0.17661189920117273,0.3632468048503504,-0.6146935127037736,0.9763290685479711,0.12978706758548755
11281,2016,332,0.361,1.1237549184264466,-0.08443130326789466,-0.09261100517339638,-1.5265193483259951,0.5157071088317545,-0.9843676932777043,1.6158946151929245,1.1096778720291707
