id,season,pa,avg,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
12533,2023,753,0.276,0.291,0.096,0.146,5.5,0.078,0.253,0.77,0.47100000000000003,0.662,0.912,0.8340000000000001,0.196,0.33799999999999997,0.465,0.076,0.11,0.494,0.20199999999999999,0.344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
12533,2019,747,0.285,0.294,0.11599999999999999,0.13699999999999998,5.1,0.07200000000000001,0.23,0.687,0.42100000000000004,0.6829999999999999,0.8959999999999999,0.8290000000000001,0.2,0.41100000000000003,0.389,0.08800000000000001,0.153,0.441,0.245,0.41700000000000004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
12916,2018,745,0.277,0.279,0.094,0.14400000000000002,5.4,0.075,0.327,0.679,0.469,0.745,0.909,0.841,0.21600000000000003,0.38799999999999996,0.396,0.105,0.17300000000000001,0.40399999999999997,0.25,0.41600000000000004,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
16252,2018,740,0.271,0.314,0.09300000000000001,0.17800000000000002,6.8,0.081,0.266,0.65,0.436,0.677,0.884,0.813,0.179,0.49,0.331,0.128,0.11,0.431,0.215,0.315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
24617,2024,735,0.285,0.345,0.073,0.218,8.0,0.105,0.312,0.708,0.48200000000000004,0.602,0.887,0.7809999999999999,0.183,0.466,0.35200000000000004,0.084,0.11699999999999999,0.322,0.297,0.34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
11281,2019,735,0.302,0.35,0.061,0.171,6.3,0.08900000000000001,0.341,0.691,0.491,0.7340000000000001,0.872,0.8170000000000001,0.285,0.38,0.335,0.071,0.087,0.366,0.28,0.384,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
18401,2023,735,0.337,0.338,0.109,0.114,7.3,0.078,0.268,0.728,0.462,0.738,0.878,0.831,0.201,0.495,0.304,0.047,0.24,0.397,0.247,0.461,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
19755,2024,731,0.31,0.336,0.111,0.222,8.1,0.125,0.305,0.705,0.47200000000000003,0.594,0.82,0.735,0.23600000000000002,0.36,0.40399999999999997,0.052000000000000005,0.28,0.424,0.23,0.44299999999999995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
5361,2023,730,0.331,0.37,0.099,0.166,6.0,0.094,0.301,0.792,0.51,0.688,0.88,0.815,0.276,0.353,0.37,0.036000000000000004,0.15,0.365,0.278,0.369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7
19566,2023,724,0.262,0.329,0.128,0.228,3.0,0.079,0.26,0.685,0.43799999999999994,0.675,0.8959999999999999,0.82,0.223,0.47700000000000004,0.299,0.065,0.12300000000000001,0.29100000000000004,0.308,0.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
17678,2023,724,0.262,0.27,0.127,0.12,3.7,0.049,0.223,0.633,0.387,0.747,0.941,0.8740000000000001,0.18600000000000003,0.354,0.46,0.121,0.10099999999999999,0.426,0.222,0.335,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9
12533,2021,724,0.265,0.276,0.091,0.20199999999999999,5.3,0.087,0.258,0.716,0.451,0.635,0.8909999999999999,0.8059999999999999,0.20800000000000002,0.31,0.48100000000000004,0.094,0.184,0.513,0.18899999999999997,0.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
12533,2022,724,0.248,0.263,0.073,0.166,6.2,0.09,0.29,0.747,0.47200000000000003,0.647,0.903,0.8079999999999999,0.19,0.33799999999999997,0.47200000000000003,0.085,0.10099999999999999,0.46299999999999997,0.225,0.29600000000000004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
16478,2023,720,0.197,0.209,0.175,0.299,2.2,0.11199999999999999,0.24100000000000002,0.573,0.375,0.542,0.802,0.7020000000000001,0.161,0.344,0.495,0.158,0.255,0.539,0.147,0.391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10
