id,season,pa,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
11379,2016,203,0.272,0.074,0.266,5.7,0.113,0.253,0.578,0.411,0.509,0.8240000000000001,0.7240000000000001,0.171,0.5529999999999999,0.276,0.088,0.118,0.3939999999999999,0.22,0.205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,462
22558,2022,181,0.167,0.088,0.337,6.5,0.147,0.311,0.7070000000000001,0.484,0.593,0.753,0.695,0.107,0.369,0.524,0.222,0.13,0.311,0.223,0.311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,533
7002,2015,270,0.237,0.0409999999999999,0.222,4.1,0.121,0.304,0.647,0.4639999999999999,0.557,0.8370000000000001,0.74,0.206,0.372,0.422,0.071,0.107,0.352,0.286,0.367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,810
26149,2023,102,0.377,0.069,0.216,3.6,0.092,0.354,0.6729999999999999,0.495,0.693,0.894,0.8140000000000001,0.155,0.507,0.3379999999999999,0.083,0.083,0.37,0.26,0.315,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,875
5254,2022,477,0.283,0.1169999999999999,0.27,3.4,0.092,0.24,0.636,0.409,0.599,0.865,0.7759999999999999,0.242,0.312,0.446,0.063,0.055,0.49,0.1989999999999999,0.28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,116
5485,2017,344,0.343,0.078,0.206,5.0,0.1119999999999999,0.33,0.635,0.467,0.595,0.866,0.7609999999999999,0.212,0.473,0.315,0.092,0.132,0.4429999999999999,0.254,0.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,486
31837,2023,580,0.316,0.059,0.14,4.9,0.073,0.293,0.599,0.433,0.7340000000000001,0.887,0.831,0.186,0.546,0.2689999999999999,0.081,0.122,0.365,0.284,0.295,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,312
15464,2019,494,0.239,0.093,0.312,4.2,0.131,0.319,0.667,0.4589999999999999,0.574,0.813,0.7140000000000001,0.158,0.363,0.479,0.114,0.236,0.5579999999999999,0.13,0.469,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,323
5760,2020,207,0.315,0.0969999999999999,0.237,2.2,0.177,0.3879999999999999,0.787,0.546,0.529,0.787,0.6759999999999999,0.242,0.485,0.273,0.111,0.0559999999999999,0.386,0.265,0.273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,270
10199,2015,454,0.264,0.062,0.165,8.1,0.072,0.276,0.635,0.44,0.725,0.893,0.836,0.196,0.426,0.3779999999999999,0.059,0.034,0.294,0.286,0.1939999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,197
2502,2019,119,0.197,0.092,0.2689999999999999,0.3,0.119,0.273,0.67,0.447,0.563,0.825,0.735,0.187,0.32,0.493,0.216,0.108,0.4,0.307,0.413,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,361
10681,2017,165,0.256,0.048,0.133,1.5,0.088,0.416,0.6920000000000001,0.539,0.759,0.8959999999999999,0.8370000000000001,0.231,0.455,0.313,0.095,0.024,0.296,0.244,0.244,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,366
2151,2015,624,0.267,0.123,0.157,2.4,0.093,0.257,0.669,0.435,0.649,0.852,0.784,0.193,0.361,0.445,0.179,0.1989999999999999,0.502,0.198,0.359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,41
25931,2024,470,0.3,0.049,0.2,5.0,0.129,0.426,0.7070000000000001,0.5489999999999999,0.67,0.8390000000000001,0.765,0.207,0.494,0.299,0.115,0.154,0.421,0.226,0.364,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,387
9744,2018,501,0.27,0.146,0.248,2.4,0.105,0.298,0.583,0.414,0.6579999999999999,0.813,0.746,0.19,0.447,0.363,0.165,0.183,0.417,0.2189999999999999,0.374,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,447
18400,2024,249,0.32,0.072,0.1689999999999999,3.1,0.0969999999999999,0.359,0.733,0.501,0.693,0.8959999999999999,0.8059999999999999,0.193,0.513,0.294,0.127,0.109,0.436,0.25,0.271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,802
7859,2019,634,0.334,0.063,0.1639999999999999,4.6,0.091,0.3329999999999999,0.708,0.497,0.7020000000000001,0.8859999999999999,0.8170000000000001,0.23,0.392,0.3779999999999999,0.077,0.177,0.428,0.243,0.4029999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10
12984,2021,428,0.226,0.065,0.308,6.0,0.155,0.314,0.687,0.477,0.488,0.787,0.6759999999999999,0.191,0.502,0.307,0.127,0.076,0.43,0.198,0.341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,188
7859,2024,499,0.293,0.086,0.172,5.1,0.083,0.331,0.675,0.479,0.72,0.894,0.826,0.223,0.366,0.41,0.141,0.081,0.451,0.198,0.286,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10
