id,season,avg_actual,avg_pred,residual,pa,RAWBA,BAA,luck_component
25621,2024,0.202,0.2432787321974335,-0.0412787321974335,108,0.202,0.2432787321974335,-0.0412787321974335
6387,2016,0.264,0.2616341664957385,0.0023658335042614,413,0.264,0.2616341664957385,0.0023658335042615053
9256,2022,0.245,0.2528724274557782,-0.0078724274557782,527,0.245,0.2528724274557782,-0.007872427455778208
20043,2023,0.264,0.2342613291793293,0.0297386708206707,595,0.264,0.2342613291793293,0.02973867082067072
12147,2017,0.251,0.259236010312704,-0.008236010312704,178,0.251,0.259236010312704,-0.00823601031270399
12927,2022,0.274,0.2604740562106615,0.0135259437893384,673,0.274,0.2604740562106615,0.013525943789338524
24589,2022,0.232,0.2489535217039575,-0.0169535217039575,123,0.232,0.2489535217039575,-0.016953521703957475
13145,2016,0.273,0.2931477168173972,-0.0201477168173972,152,0.273,0.2931477168173972,-0.020147716817397188
5930,2020,0.254,0.2764306303008334,-0.0224306303008334,141,0.254,0.2764306303008334,-0.02243063030083342
16997,2022,0.257,0.2408827036146552,0.0161172963853448,572,0.257,0.2408827036146552,0.016117296385344815
11281,2016,0.283,0.2730510336370684,0.0099489663629315,332,0.283,0.2730510336370684,0.009948966362931577
10155,2023,0.263,0.2320240276947092,0.0309759723052907,362,0.263,0.2320240276947092,0.03097597230529081
12564,2021,0.251,0.2537395805108502,-0.0027395805108502,595,0.251,0.2537395805108502,-0.0027395805108502147
18054,2023,0.253,0.2836984955113738,-0.0306984955113738,108,0.253,0.2836984955113738,-0.030698495511373824
15794,2019,0.206,0.2614962454004991,-0.0554962454004991,105,0.206,0.2614962454004991,-0.055496245400499106
26466,2023,0.249,0.2168872409085953,0.0321127590914047,254,0.249,0.2168872409085953,0.03211275909140471
1327,2015,0.221,0.2375060576600847,-0.0165060576600847,378,0.221,0.2375060576600847,-0.0165060576600847
11205,2015,0.287,0.2694217752631433,0.0175782247368566,689,0.287,0.2694217752631433,0.017578224736856662
14161,2023,0.207,0.1864531337677722,0.0205468662322277,347,0.207,0.1864531337677722,0.02054686623222779
10951,2019,0.248,0.2572085242680353,-0.0092085242680353,372,0.248,0.2572085242680353,-0.009208524268035312
11270,2015,0.241,0.2473472889856493,-0.0063472889856493,161,0.241,0.2473472889856493,-0.006347288985649319
5631,2018,0.29,0.2659125100470473,0.0240874899529526,506,0.29,0.2659125100470473,0.02408748995295268
12533,2021,0.265,0.2426033952594293,0.0223966047405707,724,0.265,0.2426033952594293,0.022396604740570702
5209,2016,0.22,0.2404308944991734,-0.0204308944991734,506,0.22,0.2404308944991734,-0.020430894499173402
10762,2018,0.3,0.3040730263557336,-0.0040730263557335,533,0.3,0.3040730263557336,-0.004073026355733589
3174,2015,0.276,0.2546306861511661,0.0213693138488339,653,0.276,0.2546306861511661,0.02136931384883395
19198,2018,0.291,0.2711141985425843,0.0198858014574156,573,0.291,0.2711141985425843,0.019885801457415697
14162,2017,0.315,0.2669858697509021,0.0480141302490979,481,0.315,0.2669858697509021,0.0480141302490979
15653,2021,0.244,0.2618209618987575,-0.0178209618987575,493,0.244,0.2618209618987575,-0.01782096189875748
2502,2015,0.244,0.2300306530212841,0.0139693469787158,554,0.244,0.2300306530212841,0.013969346978715907
8628,2016,0.302,0.2710870188004991,0.0309129811995008,484,0.302,0.2710870188004991,0.030912981199500866
10472,2021,0.25,0.2497690006279042,0.0002309993720957,585,0.25,0.2497690006279042,0.00023099937209580812
13110,2018,0.262,0.1865637164217028,0.0754362835782972,157,0.262,0.1865637164217028,0.07543628357829721
9549,2019,0.315,0.2788559154421369,0.0361440845578631,186,0.315,0.2788559154421369,0.03614408455786311
11854,2016,0.255,0.2233955531107663,0.0316044468892336,100,0.255,0.2233955531107663,0.031604446889233695
5986,2016,0.21,0.2609820081844827,-0.0509820081844827,181,0.21,0.2609820081844827,-0.0509820081844827
16512,2024,0.269,0.2585359541563504,0.0104640458436495,496,0.269,0.2585359541563504,0.010464045843649628
14350,2023,0.236,0.2656740131368389,-0.0296740131368389,169,0.236,0.2656740131368389,-0.029674013136838928
27630,2024,0.189,0.238843937521508,-0.049843937521508,171,0.189,0.238843937521508,-0.04984393752150801
15117,2020,0.228,0.2569457452674168,-0.0289457452674168,186,0.228,0.2569457452674168,-0.028945745267416806
12649,2016,0.257,0.2721502413280073,-0.0151502413280073,285,0.257,0.2721502413280073,-0.015150241328007297
14553,2018,0.258,0.2551528516265695,0.0028471483734305,536,0.258,0.2551528516265695,0.0028471483734305303
16542,2020,0.171,0.2102352701766694,-0.0392352701766694,128,0.171,0.2102352701766694,-0.03923527017666939
19734,2022,0.269,0.2681832237601723,0.0008167762398277,510,0.269,0.2681832237601723,0.0008167762398277323
19346,2022,0.2,0.2166299086092576,-0.0166299086092576,117,0.2,0.2166299086092576,-0.016629908609257588
10348,2016,0.256,0.247466624513656,0.008533375486344,281,0.256,0.247466624513656,0.008533375486344003
12282,2022,0.207,0.2277037238197718,-0.0207037238197718,472,0.207,0.2277037238197718,-0.020703723819771813
7476,2018,0.165,0.2080427794228816,-0.0430427794228815,234,0.165,0.2080427794228816,-0.043042779422881594
10243,2024,0.291,0.2395690107104787,0.0514309892895212,279,0.291,0.2395690107104787,0.05143098928952128
10815,2018,0.254,0.285190406549447,-0.031190406549447,594,0.254,0.285190406549447,-0.031190406549446992
22799,2022,0.195,0.2414708759043681,-0.0464708759043681,500,0.195,0.2414708759043681,-0.0464708759043681
17338,2019,0.23,0.2223519452156866,0.0076480547843133,110,0.23,0.2223519452156866,0.007648054784313407
