id,RAWBA,BAA,total_pa,seasons
211,0.244,0.2566728389655183,390,1
393,0.26179980372914624,0.26963525094223006,2038,4
454,0.23444359756097563,0.24444857283766327,656,2
589,0.2688732394366197,0.24157476769150316,1633,3
629,0.24233589743589745,0.26229651160085415,390,2
639,0.2923128229215594,0.272823019807002,2129,4
731,0.23999999999999996,0.2460645103369673,567,1
745,0.29420322580645164,0.27308096908153273,1240,2
746,0.26981438848920863,0.28880311838533157,695,2
785,0.2323881815213843,0.22580048785522855,3063,6
791,0.29003092214246273,0.29606473072378786,1811,3
950,0.25140861812778603,0.24760008227923064,673,2
971,0.22331687242798354,0.24124551568212654,729,2
1002,0.246,0.258060561601868,516,1
1101,0.25672102161100196,0.2801993083617155,1018,3
1159,0.23532305936073059,0.27163796240544597,876,4
1177,0.24865473684210526,0.2528380759829249,3800,8
1191,0.23821387283236997,0.24022890846572764,519,2
1201,0.265,0.2734325355521718,193,1
1274,0.23592120509849362,0.23600658371909922,863,2
1281,0.23017999999999997,0.23334854800058932,900,2
1327,0.2330840534171249,0.22528642128966325,1273,3
1433,0.2721741729772818,0.2690224323445151,2509,7
1534,0.259,0.2558863025821154,408,1
1551,0.2040749354005168,0.2232396044003521,387,2
1572,0.21878021978021978,0.2545389439273051,637,2
1609,0.2246870860927152,0.25795192034601483,604,2
1677,0.23,0.2580595858911942,204,1
1679,0.2324574607329843,0.2520066237309106,1528,4
1736,0.24977888198757764,0.2588133759903757,1610,4
1737,0.283295,0.2564601693511424,400,2
1738,0.2700734522560336,0.2687558325729294,953,2
1744,0.28061279799247174,0.27138868984396314,3985,9
1825,0.233,0.2553116477725938,317,1
1830,0.232,0.2361223269954262,224,1
1845,0.213,0.1825361607952855,262,1
1849,0.2308738170347003,0.2208499395040157,317,2
1857,0.2779332493702771,0.2897035436169497,2382,4
1873,0.2484212389380531,0.24367024621112926,1130,3
1875,0.253,0.23609438577598788,182,1
1887,0.22386816578483246,0.2238022031523918,2268,4
1904,0.20699999999999996,0.2097692122170713,484,1
1907,0.25527198697068404,0.25436672815701994,614,3
1908,0.2696985422740525,0.2743981468175662,1715,4
1965,0.22205405405405407,0.2312327865283049,333,2
