id,season,pa,avg,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id,pred_babip,raw_ba,raw_ba_model,plate_score,contact_score,baa_raw,BAA
26197,2024,619,0.246,0.285,0.061,0.213,2.5,0.1,0.362,0.6829999999999999,0.494,0.659,0.903,0.7979999999999999,0.16,0.381,0.4579999999999999,0.153,0.094,0.357,0.257,0.332,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,229,0.2541228107099011,0.246,0.246,-0.03087891033290187,-0.044557562185691235,-0.0754364725185931,84.1807118150903
2396,2023,619,0.24,0.255,0.105,0.168,4.0,0.093,0.2739999999999999,0.7020000000000001,0.4529999999999999,0.691,0.851,0.795,0.182,0.4379999999999999,0.38,0.17,0.135,0.493,0.198,0.322,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,67,0.2700782907127907,0.24,0.24,-0.0006922731762205971,-0.033679681174033235,-0.03437195435025383,92.79208275266042
23003,2024,619,0.299,0.338,0.039,0.173,3.4,0.132,0.457,0.7959999999999999,0.588,0.655,0.887,0.7759999999999999,0.2239999999999999,0.512,0.263,0.086,0.125,0.409,0.212,0.319,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,230,0.3133688344379482,0.299,0.299,0.03589933135141968,0.013663445779489886,0.04956277713090956,110.39348512067639
639,2015,619,0.287,0.295,0.066,0.105,3.6,0.076,0.359,0.643,0.484,0.754,0.904,0.8420000000000001,0.2269999999999999,0.416,0.357,0.0819999999999999,0.099,0.3879999999999999,0.225,0.337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,175,0.3038436583392053,0.287,0.287,0.041663648336931855,0.011632630021172543,0.053296278358104396,111.17641319087681
13621,2018,619,0.224,0.279,0.107,0.258,4.0,0.1009999999999999,0.286,0.619,0.427,0.623,0.852,0.763,0.177,0.417,0.406,0.122,0.122,0.466,0.2319999999999999,0.352,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,212,0.2748205208354928,0.224,0.224,-0.0312735110384139,-0.022955629724612073,-0.05422914076302597,88.6279623488638
20126,2021,619,0.266,0.332,0.092,0.246,4.0,0.115,0.275,0.688,0.449,0.585,0.8290000000000001,0.743,0.246,0.3779999999999999,0.376,0.054,0.122,0.41,0.291,0.286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,231,0.3072305160215132,0.266,0.266,-0.0004775600941514217,0.020516886159307374,0.020039326065155953,104.20231571641875
8610,2016,618,0.263,0.283,0.078,0.1939999999999999,0.8,0.107,0.3339999999999999,0.687,0.481,0.626,0.879,0.7759999999999999,0.201,0.442,0.357,0.063,0.19,0.379,0.242,0.411,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,179,0.2930902171070958,0.263,0.263,0.007600430225083922,0.0003963939291624422,0.007996824154246364,101.6769615762308
5933,2019,618,0.28,0.302,0.049,0.118,5.4,0.063,0.372,0.61,0.47,0.7759999999999999,0.943,0.866,0.21,0.519,0.271,0.1169999999999999,0.088,0.345,0.256,0.331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,58,0.3215529092476856,0.28,0.28,0.04300798289015785,0.017813515206033612,0.06082149809619146,112.75447769624229
13510,2016,618,0.312,0.333,0.071,0.1,5.5,0.049,0.2769999999999999,0.64,0.439,0.8440000000000001,0.912,0.888,0.228,0.409,0.363,0.098,0.06,0.39,0.283,0.268,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,46,0.304804203491245,0.312,0.312,0.03366167226106524,0.011438106296414109,0.04509977855747935,109.45757894366723
5913,2019,618,0.279,0.353,0.034,0.225,6.1,0.122,0.385,0.732,0.539,0.635,0.866,0.774,0.215,0.5489999999999999,0.236,0.0579999999999999,0.078,0.332,0.341,0.285,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,232,0.3346529077224955,0.279,0.279,0.02509971976375787,0.03611005137975008,0.06120977114350795,112.83589989196358
