Model,Test_R2,Test_MAE,Train_R2,Overfit,Improvement
Original Linear (baseline),0.372,0.0256,0.399,0.027000000000000024,0.0
Linear + Interactions,0.36077208568712593,0.025597020086845397,0.40813007306324145,0.04735798737611552,-3.0
Random Forest,0.29308078122851633,0.026723392586747163,0.459037449848433,0.16595666861991665,-21.2
Ensemble,0.32846428367211766,0.026003467618052344,0.45613066036712,0.12766637669500236,-11.7
